Fst34,Fst32,Fst42
0.2717093262049268,0.2855188093383576,0.013445132306746377
0.2857787908233481,0.13997239776276638,0.1596453630038457
0.18817783979197034,0.20842065714470215,0.20784270569678331
0.1342645427804483,0.10334263089351303,0.09110342921795822
0.2375168690958166,0.10397377128806062,0.24248543759031427
0.1858032634179848,0.12777526053466304,0.2007198307631931
0.1620384395301092,0.16847303850365414,0.14018672454035508
0.2524685420388294,0.37221014078058867,0.12736818800012673
0.10149718251321738,0.2334776550213995,0.1836462281597
0.092567480304792,0.17633356935354716,0.3587186281223018
0.06169004109495235,0.15017587045997305,0.08630468735180108
0.28592830561332405,0.1677210516442429,0.19494234041860392
0.09005325120767949,0.23872413586635743,0.24993941689808952
0.10449395150254526,0.5584595494565625,0.32738289740040105
0.19025169796244512,0.1590125179242723,0.10329352063092789
0.5895310304889165,0.5538044619553804,0.07881398626501956
0.38985126189604236,0.08149754738156256,0.15203066054474823
0.07531553234846133,0.10218329525260261,0.0778032362275326
0.405187973166931,0.2639352870853493,0.3996408310835724
0.05034137945986317,0.039321639371519446,0.10339711185107248
0.0816670209113356,0.25635516723046103,0.16004820499240358
0.22528178056784154,0.08162885138407638,0.14866421004145602
0.06104544775080867,0.14836152986981876,0.21485417554550035
0.09473657378100919,0.080374980789919,0.08516761364869507
0.1710922466150817,0.27669145185340327,0.09202384469382674
0.050108539709008526,0.10699269842062831,0.09658130768230855
0.12326686887371241,0.3066284055456383,0.17132826665637935
0.020661882198638404,0.2512465340996982,0.17978679204870085
0.14166711383069064,0.1533579144275159,0.1207403096924351
0.04030728066863409,0.1461396308473284,0.1513085260421725
0.5895310304889165,0.5538044619553804,0.07881398626501956
0.2668522683111738,0.22922159405998732,0.21022511179885817
0.1271580054333541,0.37515541464627633,0.37698941906097494
0.36953068203236494,0.27751096262267716,0.037733327393415506
0.18990496962143666,0.23063377463300672,0.43980331756501834
0.22084866633286526,0.27828077094698667,0.17199815599806623
0.12215332424992353,0.13020489094514254,0.18508531517991378
0.14296519839769117,0.10058563934608278,0.36751116116863247
0.06399437783684103,0.0012602091369970925,0.09956449761782005
0.5755899580649143,0.5337089052871007,0.12129733935214027
0.24659384241926996,0.16968196533993518,0.12891827542803436
0.11726606442815746,0.32791341125994966,0.15820029027576232
0.0010792322195070092,0.018241721704171376,0.005118786901739503
0.11249938399602777,0.08209149083298939,0.03933598426808815
0.15410490805277421,0.16654229319801528,0.12082006773061926
0.38093691324085166,0.11576153919059762,0.31247427413012496
0.0103754245378187,0.02907256898711774,0.006782483774798176
0.28629028928747424,0.236014913041512,0.15699386643522706
0.20281359906213414,0.16361781857690882,0.06595386833253303
0.4906135225746787,0.18120155038759733,0.30062230732407913
0.11640365590661705,0.02834499562122239,0.0965664369160445
0.06193041898308149,0.10616060152918616,0.0766258853831292
0.19378841173514605,0.24056244348924993,0.2302497381333033
0.23195113987746574,0.24357888794806648,0.08151296728854873
0.2385640448648072,0.06577563908222472,0.40650465221324394
0.19769586885853407,0.0354392208533133,0.11112929958462026
0.11756282126652529,0.05522951685382105,0.11153148646113431
0.19754718516108027,0.22269885488803087,0.2948612037720617
0.1904797654065684,0.6189368373831442,0.33372416078301403
0.24586215064740902,0.03552575260379465,0.1367781155015203
0.21038052331680746,0.04887420414679089,0.30512422864039546
0.14733635901430564,0.08147992901516532,0.049284783502703045
0.5438498178761558,0.15556672530786642,0.29791271347248593
0.14463537991557962,0.22853685439222193,0.15472855666918817
0.1746059913711837,0.17179070112351857,0.019408917790676883
0.21972963402695378,0.26768188317083386,0.043596369177764105
0.3791939227685168,0.05323572659572806,0.3430144721742938
0.3660951103836553,0.2513440860215064,0.28574906922487775
0.6826278640769785,0.23859878413433921,0.40409391145118023
0.04028135850856118,0.26252134319863385,0.12851511169513763
0.4059762018440787,0.280088780697358,0.2523083852563619
0.19609820194268712,0.3789285743402443,0.22023761989689605
0.24613153219646644,0.25695598563233646,0.18611865063978117
0.2742119237941123,0.12912133298718498,0.16296373782809082
0.045132385333473524,0.049503262173322904,0.06212044680760864
0.05826554861658928,0.0905891461955377,0.1797413739867192
0.0848691547514201,0.017368085257213894,0.0533070659545416
0.15306472938065507,0.13605018726331242,0.09098133795881991
-0.004026170105686733,0.3965791314300252,0.3910735615281383
0.28521151545013046,0.21365858205694255,0.09608058034549449
0.14852287564883493,0.06706141977372682,0.06493028392618883
0.09980744544287579,0.39334261877071663,0.16705925801418997
0.1403068745540239,0.38798076037078666,0.4719098474668173
0.26971083029692255,0.154495370943034,0.054484857267063425
0.07632528448515041,0.18876131986188904,0.040403597536557534
0.38557128063513957,0.1845957119269016,0.1926511131869253
0.17392979122261998,0.36578098404406556,0.4251119447674755
0.11266952824295207,0.45574883743818106,0.4189081829531264
0.21706376624245005,0.10532574807958095,0.16401269163478915
0.0688335185572928,0.16408621769382614,0.08842053724434074
0.03966608603474442,0.15120944735928998,0.1705372209300372
0.17947083835376398,0.1497831895931001,0.22713247249184565
0.12135980423308834,0.1080010705849046,0.15590396115664285
0.24455285444130814,0.2774863603973752,0.46723147336644266
0.5019933867093787,0.3334944547383103,0.11981936529729453
0.19088076078457783,0.10396551724137981,0.1836583787780759
0.2197225499369424,0.15129624789107288,0.2098143137763615
0.025014164237064374,0.07879223091815157,0.08151305274374021
0.0953055671968448,0.05332134883586093,0.07621772777524849
0.08872540954708863,0.09283461725528364,0.062225624656693124
0.6929806851066694,0.5719837135435479,0.17208299504643265
0.3101144828495459,0.24278451623233666,0.10323474617286932
0.11195850635815774,0.06896849126035076,0.1759511122703742
